user_id_clean,row_count
EMP10194,2
EMP11195,2
EMP10102,2
EMP10152,2
EMP12332,2
EMP12482,2
EMP12603,2
EMP10900,2
EMP10746,2
EMP10772,2
EMP10051,2
EMP10063,2
EMP11090,2
EMP10052,2
EMP10044,2
EMP11001,2
EMP10408,2
EMP10144,2
EMP10291,2
EMP10781,2
EMP10298,2
EMP10014,2
EMP11600,2
EMP10203,2
EMP12851,2
EMP11583,2
EMP10289,2
EMP10393,2
EMP10266,2
EMP10727,2
EMP10251,2
EMP12272,2
EMP11830,2
EMP10322,2
EMP10695,2
EMP12525,2
EMP12425,2
EMP12901,2
EMP10296,2
EMP12881,2
EMP11270,2
EMP11665,2
EMP12748,2
EMP11547,2
EMP10912,2
EMP12579,2
EMP11817,2
EMP11491,2
EMP10472,2
EMP11241,2
EMP10794,2
EMP10612,2
EMP10521,2
EMP10718,2
EMP12254,2
EMP11763,2
EMP11359,2
EMP12567,2
EMP10644,2
EMP11005,2
EMP11073,2
EMP11842,2
EMP11801,2
EMP10842,2
EMP11298,2
EMP11820,2
EMP12113,2
EMP11117,2
EMP12111,2
EMP11330,2
EMP12776,2
EMP11226,2
EMP11190,2
EMP11360,2
EMP11582,2
EMP12083,2
EMP11921,2
EMP11411,2
EMP11694,2
EMP12001,2
EMP12144,2
EMP12477,2
EMP12678,2
EMP12418,2
EMP12505,2
EMP12724,2
EMP12663,2
EMP12738,2
EMP12895,2
EMP12546,2
